Player,Hands,Result,RakePaid,1kRakeback,5kRakeback,>5kRakeback,Cumulative,winrate,Rbwinrate,rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 640,523,-234.65,43.28,4.328,0,0,4.33,-44.86615679,-44.03824092,0.018453015,0,0,0,0
Player 641,521,333.64,35.25,3.525,0,0,3.53,64.03838772,64.7159309,0.010580266,1,1,1,1
Player 642,520,35.59,37.62,3.762,0,0,3.76,6.844230769,7.567307692,0.105647654,1,1,1,1
Player 643,519,-306.1,66.66,6.666,0,0,6.67,-58.97880539,-57.69364162,0.021790265,0,0,0,0
Player 644,518,-435.61,54.6,5.46,0,0,5.46,-84.09459459,-83.04054054,0.012534148,0,0,0,0
Player 645,517,75.88,25.86,2.586,0,0,2.59,14.67698259,15.17794971,0.034132841,1,1,1,1
Player 646,516,-63.73,72.03,7.203,0,0,7.2,-12.35077519,-10.95542636,0.11297662,0,0,0,0
Player 647,516,154.35,34.62,3.462,0,0,3.46,29.9127907,30.58333333,0.022416586,1,1,1,1
Player 648,514,162.1,90.33,9.033,0,0,9.03,31.53696498,33.29377432,0.055706354,1,1,1,1
Player 649,514,242.47,61.09,6.109,0,0,6.11,47.17315175,48.3618677,0.025198994,1,1,1,1
Player 650,513,-293.66,104.42,10.442,0,0,10.44,-57.24366472,-55.208577,0.035551318,0,0,0,0
Player 651,513,-162.43,54.29,5.429,0,0,5.43,-31.66276803,-30.6042885,0.033429785,0,0,0,0
Player 652,512,-9.78,44.69,4.469,0,0,4.47,-1.91015625,-1.037109375,0.457055215,0,0,0,0
Player 653,512,49.96,35.33,3.533,0,0,3.53,9.7578125,10.44726563,0.070656525,1,1,1,1
Player 654,511,-80.8,84.09,8.409,0,0,8.41,-15.81213307,-14.16634051,0.104084158,0,0,0,0
Player 655,510,-298.83,79.86,7.986,0,0,7.99,-58.59411765,-57.02745098,0.02673761,0,0,0,0
Player 656,509,-352.01,32.14,3.214,0,0,3.21,-69.15717092,-68.52652259,0.009119059,0,0,0,0
Player 657,508,161.7,31.43,3.143,0,0,3.14,31.83070866,32.4488189,0.019418677,1,1,1,1
Player 658,507,99.52,18.48,1.848,0,0,1.85,19.62919132,19.99408284,0.018589228,1,1,1,1
Player 659,507,-252.45,62.33,6.233,0,0,6.23,-49.79289941,-48.56410256,0.024678154,0,0,0,0
Player 660,506,-112.73,73.06,7.306,0,0,7.31,-22.27865613,-20.83399209,0.064845205,0,0,0,0
Player 661,505,-200.05,42.71,4.271,0,0,4.27,-39.61386139,-38.76831683,0.021344664,0,0,0,0
Player 662,504,-161.64,42.16,4.216,0,0,4.22,-32.07142857,-31.23412698,0.026107399,0,0,0,0
Player 663,503,-281.47,34.73,3.473,0,0,3.47,-55.9582505,-55.26838966,0.012328134,0,0,0,0
Player 664,502,-78.27,83.27,8.327,0,0,8.33,-15.59163347,-13.93227092,0.106426472,0,0,0,0
Player 665,502,-128.94,25.95,2.595,0,0,2.6,-25.68525896,-25.16733068,0.020164418,0,0,0,0
Player 666,500,20.11,58.59,5.859,0,0,5.86,4.022,5.194,0.291397315,1,1,1,1
Player 667,500,-144.72,32,3.2,0,0,3.2,-28.944,-28.304,0.022111664,0,0,0,0
Player 668,499,-13.89,40.83,4.083,0,0,4.08,-2.783567134,-1.965931864,0.293736501,0,0,0,0
Player 669,498,-536.01,57.82,5.782,0,0,5.78,-107.6325301,-106.4718876,0.010783381,0,0,0,0
Player 670,497,68.89,70.21,7.021,0,0,7.02,13.861167,15.27364185,0.101901582,1,1,1,1
Player 671,496,131.79,64.57,6.457,0,0,6.46,26.57056452,27.87298387,0.049017376,1,1,1,1
