,Hands,Result,Rake Paid
Player 448,820,-39.12,87.45
Player 449,817,-144.58,85.18
Player 450,814,-157.29,40.73
Player 451,812,-194.36,108.61
Player 452,809,4.46,90.58
Player 453,806,-381.13,99.96
Player 454,803,-409.32,91.6
Player 455,801,-10.63,48.21
Player 456,799,-127.49,38.47
Player 457,797,-514.32,39.48
Player 458,795,-135.19,77.21
Player 459,794,-74.88,77.54
Player 460,792,-171.78,112.47
Player 461,790,-108.88,71.33
Player 462,787,47.19,49.95
Player 463,784,-747.99,123.86
Player 464,781,-256.81,29.82
Player 465,779,-337.11,60.36
Player 466,777,-620.24,114.33
Player 467,774,-73.74,72.19
Player 468,773,-626.08,66.94
Player 469,771,-462.18,70.34
Player 470,769,-337.45,127.44
Player 471,767,-114.64,71.01
Player 472,765,3.37,117.06
Player 473,764,-370.29,78.11
Player 474,762,-805.68,115.11
Player 475,761,16.4,54.05
Player 476,759,-1157.92,83.92
Player 477,756,-397.34,87.7
Player 478,754,-16.72,85.57
Player 479,753,-136.85,66.5
Player 480,750,-181.57,29.28
Player 481,748,-161.63,48.8
Player 482,746,-309.02,38.76
Player 483,744,-252.64,29.98
Player 484,742,87.93,30.94
Player 485,740,5.54,90.81
Player 486,738,-322.62,58.32
Player 487,736,43.46,59.65
Player 488,734,-54.74,36.95
Player 489,733,-365.85,58.43
Player 490,731,128.21,60.17
Player 491,729,-474,85.54
Player 492,728,-203.02,39.52
Player 493,725,-30.8,92.45
Player 494,724,-555.11,54.67
Player 495,722,-113.33,156.3
Player 496,720,148.92,38.15
Player 497,719,249.99,105.18
Player 498,717,248.85,128.56
Player 499,714,672.86,114.19
Player 500,713,-27.88,74.17
Player 501,711,-677.8,107.89
Player 502,709,-110.51,100.62
Player 503,708,-165.99,59.49
Player 504,707,-81.27,58.25
Player 505,705,32.4,65.2
Player 506,704,200.7,86.05
Player 507,702,-10.48,97.81
Player 508,700,281.66,72.28
Player 509,699,-504.15,77.51
Player 510,695,-223.34,140.87
Player 511,694,-106.53,41.65
Player 512,693,-113.35,40.09
Player 513,691,117.23,77.13
Player 514,690,-167.72,41.47
Player 515,689,-324.29,51.62
Player 516,686,-52.17,70.82
Player 517,685,-672.45,130.9
Player 518,683,-27.43,197.46
Player 519,681,-546.19,33.8
Player 520,680,-193.67,72.38
Player 521,678,-216.47,165.31
Player 522,675,-18.16,49.46
Player 523,674,-342.41,62.65
Player 524,672,-309.03,58.27
Player 525,670,-97.17,79.63
Player 526,668,-582.91,62.61
Player 527,666,-350.16,44.17
Player 528,665,-261.78,35.8
Player 529,663,118.77,93.5
Player 530,661,-773.68,82.28
Player 531,660,-200.74,84.47
Player 532,659,-107.66,131.5
Player 533,657,-823.26,163.84
Player 534,654,-119.53,60.74
Player 535,653,30.05,61.06
Player 536,651,-278.61,65.07
Player 537,649,232.06,44.65
Player 538,647,-484.49,101.21
Player 539,646,-223.01,57.81
Player 540,644,578.76,86.85
Player 541,642,-52.35,45.58
Player 542,641,-289.18,54.04
Player 543,639,3.73,65.06
Player 544,638,-109.03,76.84
Player 545,636,-4.98,32.89
Player 546,634,-214.52,131.1
Player 547,633,-390.7,59.21
Player 548,631,-240.16,42.72
Player 549,630,-113.76,66.48
Player 550,629,-816.8,86.13
Player 551,628,-278.83,63.7
Player 552,626,1.45,35.29
Player 553,625,-136.4,41.36
Player 554,624,-294.98,47.7
Player 555,622,-134.23,62.6
Player 556,621,80.32,62.5
Player 557,620,-35.11,56.36
Player 558,619,-233.4,42.73
Player 559,617,-92.43,45.44
Player 560,616,-128.04,26.02
Player 561,615,616.57,153.7
Player 562,613,20.03,47.99
Player 563,611,-40.53,49.75
Player 564,611,-32.48,59.15
Player 565,609,-461.8,37.99
Player 566,608,-666.35,69.54
Player 567,607,-53.39,52.82
Player 568,606,37.76,52.91
Player 569,604,432.45,90.22
Player 570,602,-74.17,51.66
Player 571,601,-385.53,58.28
Player 572,600,-451.5,101.3
Player 573,599,-606.52,130.8
Player 574,598,-41.71,29.65
Player 575,596,159.93,132.77
Player 576,595,-34.58,90.98
Player 577,594,-70.77,104.42
Player 578,592,-494.13,79
Player 579,591,91.55,86.64
Player 580,590,-219.36,33.17
Player 581,589,-229.21,58.87
Player 582,588,145.64,56.24
Player 583,587,-26.59,27.39
Player 584,586,-81.96,103.98
Player 585,585,-51.01,105.18
Player 586,584,-411.11,35.78
Player 587,583,-459.65,62.66
Player 588,582,-666.01,50.6
Player 589,581,-226.87,35.71
Player 590,580,-139.99,41.67
Player 591,579,-179.86,68.32
Player 592,578,-11.2,76.71
Player 593,576,215.11,55.96
Player 594,574,-77.29,33.9
Player 595,573,-383.91,24.62
Player 596,572,156.41,59.13
Player 597,570,-275.28,49
Player 598,568,-401.64,53.79
Player 599,567,-170.57,27.43
Player 600,566,-132.49,39.33
Player 601,565,-319.64,45.78
Player 602,563,338.62,142.1
Player 603,562,260.51,56.75
Player 604,561,-714.43,172.79
Player 605,560,-318.67,72.65
Player 606,559,-203.85,100.46
Player 607,557,74.23,95.89
Player 608,556,-46.41,26.33
Player 609,555,-93.3,77.02
Player 610,554,-61.8,43.28
Player 611,553,-567.28,66
Player 612,551,149.06,71.32
Player 613,550,-103.53,30.59
Player 614,549,-474.77,70.47
Player 615,547,-486.96,42.55
Player 616,546,-420.9,50.18
Player 617,544,-809.03,104.7
Player 618,544,-306.47,74.18
Player 619,542,114.03,21.44
Player 620,541,84.16,60.36
Player 621,540,-226.54,80.56
Player 622,540,-52.5,40.06
Player 623,539,-152.95,36.88
Player 624,538,-48.29,146.33
Player 625,537,-236.5,82.73
Player 626,536,-617.95,59.84
Player 627,535,-241.15,42.42
Player 628,534,-615.27,49.5
Player 629,533,-52.03,25.47
Player 630,532,-206.64,50.19
Player 631,531,-319.08,50.5
Player 632,530,-435.31,129.11
Player 633,530,-363.21,62.83
Player 634,529,-33.67,60.85
Player 635,528,84.45,53.08
Player 636,527,-272.18,60.78
Player 637,526,-182.68,34.61
Player 638,525,-132.05,51.81
Player 639,524,-130.33,53.06
Player 640,523,-234.65,43.28
Player 641,521,333.64,35.25
Player 642,520,35.59,37.62
Player 643,519,-306.1,66.66
Player 644,518,-435.61,54.6
Player 645,517,75.88,25.86
Player 646,516,-63.73,72.03
Player 647,516,154.35,34.62
Player 648,514,162.1,90.33
Player 649,514,242.47,61.09
Player 650,513,-293.66,104.42
Player 651,513,-162.43,54.29
Player 652,512,-9.78,44.69
Player 653,512,49.96,35.33
Player 654,511,-80.8,84.09
Player 655,510,-298.83,79.86
Player 656,509,-352.01,32.14
Player 657,508,161.7,31.43
Player 658,507,99.52,18.48
Player 659,507,-252.45,62.33
Player 660,506,-112.73,73.06
Player 661,505,-200.05,42.71
Player 662,504,-161.64,42.16
Player 663,503,-281.47,34.73
Player 664,502,-78.27,83.27
Player 665,502,-128.94,25.95
Player 666,500,20.11,58.59
Player 667,500,-144.72,32
Player 668,499,-13.89,40.83
Player 669,498,-536.01,57.82
Player 670,497,68.89,70.21
Player 671,496,131.79,64.57
Player 672,495,32.89,68.17
Player 673,494,-315.07,44.13
Player 674,493,183.44,56.22
Player 675,492,-280.43,52.34
Player 676,492,-324.48,77.05
Player 677,491,42.87,45.55
