Player,Hands,Result,RakePaid,FlatRB,winrate,Rbwinrate,Rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 387,982,-163.3,187.49,37.498,-16.6293279,-12.8107943,0.229626454,0,0,0,1
Player 388,979,-450.48,75.76,15.152,-46.01430031,-44.46659857,0.033635234,0,0,0,1
Player 389,974,33.05,92.84,18.568,3.393223819,5.299589322,0.561815431,1,1,1,1
Player 390,970,-472.48,104.93,20.986,-48.70927835,-46.5457732,0.044416695,0,0,0,1
Player 391,968,-753.48,136.49,27.298,-77.83884298,-75.01880165,0.03622923,0,0,0,1
Player 392,963,216.52,43.08,8.616,22.48390447,23.37860852,0.039793091,1,1,1,1
Player 393,959,-601.94,167.96,33.592,-62.76746611,-59.26465068,0.055806226,0,0,0,1
Player 394,957,-151.29,74.28,14.856,-15.80877743,-14.25642633,0.098195519,0,0,0,1
Player 395,952,-878.28,185.64,37.128,-92.25630252,-88.35630252,0.042273535,0,0,0,1
Player 396,949,-1228.65,180.25,36.05,-129.4678609,-125.6691254,0.029341147,0,0,0,1
Player 397,945,-34.83,97.02,19.404,-3.685714286,-1.632380952,0.557105943,0,0,0,1
Player 398,942,-310.24,88.15,17.63,-32.93418259,-31.0626327,0.056826973,0,0,0,1
Player 399,941,-1257.02,165.87,33.174,-133.5834219,-130.0580234,0.026390988,0,0,0,1
Player 400,938,-240.84,113.29,22.658,-25.67590618,-23.26034115,0.094079057,0,0,0,1
Player 401,936,-122.69,111.62,22.324,-13.10790598,-10.72286325,0.181954519,0,0,0,1
Player 402,930,-577.21,78.94,15.788,-62.0655914,-60.36795699,0.027352263,0,0,0,1
Player 403,928,-261.99,92.59,18.518,-28.23168103,-26.2362069,0.070682087,0,0,0,1
Player 404,925,-191.45,50.98,10.196,-20.6972973,-19.59502703,0.053256725,0,0,0,1
Player 405,924,-27.36,148.26,29.652,-2.961038961,0.248051948,1.08377193,0,1,1,1
Player 406,922,-227.61,149.77,29.954,-24.68655098,-21.43774403,0.131602303,0,0,0,1
Player 407,918,-414.45,70.49,14.098,-45.14705882,-43.61132898,0.034016166,0,0,0,1
Player 408,915,270.05,66.65,13.33,29.5136612,30.9704918,0.049361229,1,1,1,1
Player 409,913,-729.05,137.07,27.414,-79.85213582,-76.84950712,0.037602359,0,0,0,1
Player 410,911,-122.65,86.88,17.376,-13.46322722,-11.55587267,0.141671422,0,0,0,1
Player 411,910,-293.12,47.66,9.532,-32.21098901,-31.16351648,0.032519105,0,0,0,1
Player 412,907,-72.14,89.75,17.95,-7.953693495,-5.974641676,0.248821735,0,0,0,1
Player 413,903,-908.39,219.47,43.894,-100.5968992,-95.73599114,0.048320655,0,0,0,1
Player 414,901,-348.8,71.82,14.364,-38.71254162,-37.11831299,0.041181193,0,0,0,1
Player 415,899,-463.77,92.12,18.424,-51.58731924,-49.53793103,0.039726589,0,0,0,1
Player 416,895,143.55,110.56,22.112,16.03910615,18.50972067,0.154036921,1,1,1,1
Player 417,892,-245.47,59.37,11.874,-27.5190583,-26.18789238,0.04837251,0,0,0,1
Player 418,890,-153.4,138.66,27.732,-17.23595506,-14.12,0.180782269,0,0,0,1
Player 419,888,-532.01,58.79,11.758,-59.91103604,-58.58693694,0.022101088,0,0,0,1
Player 420,885,-216.23,60.34,12.068,-24.43276836,-23.06915254,0.055810942,0,0,0,1
Player 421,880,-160.36,59.2,11.84,-18.22272727,-16.87727273,0.073833873,0,0,0,1
Player 422,879,-75.99,84.32,16.864,-8.645051195,-6.726507395,0.221923937,0,0,0,1
Player 423,877,170.51,33.13,6.626,19.44241733,20.19794755,0.038859891,1,1,1,1
Player 424,875,-544.95,138.49,27.698,-62.28,-59.11451429,0.050826681,0,0,0,1
Player 425,873,-109.22,44.01,8.802,-12.51088202,-11.50263459,0.080589636,0,0,0,1
Player 426,871,-63.77,47.52,9.504,-7.321469575,-6.230309989,0.149035597,0,0,0,1
